TCP Varient,SACK,Avg Throughput at AP0 (Mbits/sec),Avg Throughput at AP1 (Mbits/sec)
TCP Vegas,Enabled,36.6811,23.6562
TCP Vegas,Disabled,36.8595,24.6597
TCP Westwood,Enabled,44.253,28.8553
TCP Westwood,Disabled,43.7172,28.9118
TCP Scalable,Enabled,43.951,28.9319
TCP Scalable,Disabled,43.5229,29.1409
TCP Highspeed,Enabled,44.1594,28.9678
TCP Highspeed,Disabled,43.9881,28.9484
TCP HTCP ,Enabled,43.5877,29.0832
TCP HTCP ,Disabled,43.8079,29.0938
TCP Cubic,Enabled,44.3172,29.2922
TCP Cubic,Disabled,44.6993,25.5828
TCP BIC,Enabled,44.0888,28.7305
TCP BIC,Disabled,43.9292,29.9896